Study_ID,DOI,DOI_URL,Title,Authors,Issue_year,Online_year,Journal,Source_PDF,Species,Taxon,Test_life_stage,Adult_role,Generation_design,Aquatic_system,Polymer,Particle_class,Nominal_size,Measured_size,Shape,Aging_or_surface_state,Fluorescent_label,Exposure_route,Exposure_regime,Exposure_start,Exposure_duration,Concentration_levels,Concentration_unit,Particle_only_arm,Co_stressor,Control_structure,Independent_unit,Biological_replicates,Organisms_per_unit,Environmental_realism,Biomarker_domains,Apical_domains,Same_experiment_link,Quantitative_status,Supplement_status,Raw_data_status,Eligibility_status,Manual_review_status,Key_quality_note,Same_experiment_biomarker_apical,Clear_treatment_control_mapping,Temporal_alignment,Group_means_reported,Variance_reported,Group_specific_independent_n,Experimental_unit_reported,Public_raw_or_complete_numeric_data,YES_count,NO_count,UC_count,Evaluated_count,Usability_proportion,Complete_8_item_score,Interpretive_note,Publication_year,Taxon_group,Habitat_group,Exposure_route_group,Polymer_group,Particle_class_group,Life_stage_group,Generation_group,Quantitative_reuse_class,Publication_year_final,Taxon_group_final,Exposure_route_final,Polymer_group_final,Particle_class_final
B1-024,10.1016/j.envpol.2019.113024,https://doi.org/10.1016/j.envpol.2019.113024,"Polystyrene microplastics cause tissue damages, sex-specific reproductive disruption and transgenerational effects in marine medaka (Oryzias melastigma)",Wang J; Li Y; Lu L; Zheng M; Zhang X; Tian H; Wang W; Ru S,2019,2019,Environmental Pollution,0024_2019_Polystyrene_microplastics_cause_tissue_damages_sex-specific_reproductive_disruption_and_transgenerational_j.envpol.2019.113024.pdf.pdf,Oryzias melastigma,Fish,Three-month-old adult males and females exposed for 60 d; F1 embryos and larvae assessed in clean seawater,"Adults were directly exposed, sampled for tissue and endocrine endpoints, and paired for reproduction","Adult F0 exposure followed by sex-specific biomarker and histology assays, fecundity assessment, and F1 embryo-larval development without direct particle exposure",Marine laboratory system with charcoal-filtered natural seawater,Polystyrene,Microplastic,10 um,Stock particle size shown in Supplementary Fig. S1; no main-text size distribution,Microsphere,Commercial pristine particle,No,Waterborne,Semi-static with daily seawater replenishment and equal feeding,Three-month-old adults after two-week acclimation,60 d parental exposure; F1 followed to 18 dpf and 7 dph in clean seawater,"0, 2, 20, 200",ug/L,YES,,Natural seawater control without particles,"Exposure aquarium, three replicate tanks per concentration; fish and pooled blood are subsamples; F1 embryos are nested within parental treatment and breeding allocation","Three exposure tanks per group; endpoint n includes 8 fish for oxidative stress, three pooled blood replicates, and three F1 replicates",20 fish per exposure aquarium; sex-specific endpoint subsets; five males and five females paired per group; 120 F1 embryos divided among three replicates,Actual concentrations in the 2 and 20 ug/L groups were described as close to field observations; 200 ug/L was a higher scenario,"Internal particle burden; oxidative stress; gill, liver and gonad histopathology; plasma sex hormones; HPG-axis and steroidogenic transcription",HSI and GSI; fecundity; fertilization; F1 hatching rate and timing; embryo heart rate; F1 larval growth,"Strong treatment-level linkage between sex-specific F0 mechanisms, reproductive output and F1 development; individual and tank lineage mapping is incomplete","Exact Table 1 HSI/GSI means +/- SD, exact seawater and tissue-burden values, exact text-reported hormone and offspring effects; most other arm means are figure-only",Online supplementary data exist but were not supplied in Batch 011,No public raw-data repository identified in the main article,INCLUDE - strict particle-only,COMPLETE - BATCH 011,"Initial tank replication is clear, but many endpoint n values are fish or pooled-sample counts rather than independent tank counts. Fecundity and F1 lineage allocation require supplementary confirmation for quantitative synthesis.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Three exposure tanks are reported, but Table 1, n=8 tissue assays, pooled blood and F1 cohorts are not mapped consistently back to independent tanks. Exact values are useful but not yet variance-complete for primary synthesis.",2019,Fish,Marine,Waterborne,PS,Microplastic,Multiple stages or life cycle,Inter- or multigenerational,Partially reusable,2019,Fish,Waterborne,PS,Microplastic
B1-025,10.1016/j.envpol.2018.10.129,https://doi.org/10.1016/j.envpol.2018.10.129,Toxicity assessment of pollutants sorbed on environmental microplastics collected on beaches: Part II - adverse effects on Japanese medaka early life stages,Pannetier P; Morin B; Clerandeau C; Laurent J; Chapelle C; Cachot J,2019,2018,Environmental Pollution,0025_2019_Toxicity_assessment_of_pollutants_sorbed_on_environmental_microplastics_collected_on_beaches_Part_II-adve_j.envpol.2018.10.129.pdf.pdf,Oryzias latipes,Fish,Embryo and newly hatched prolarva,,Single-generation early-life-stage assays,Freshwater laboratory embryo-rearing and mixing water,Virgin mixed LDPE/HDPE/PP/PS and environmental mixed PE/PP/PS,"Microplastic source material; organisms exposed to DMSO extracts, not particles",Ground and sieved to <600 um,Environmental sample composition reported; extract used for exposure,Mixed environmental fragments and laboratory plastic pieces,"Virgin, BaP-coated, and beach-weathered environmental material",No,Waterborne exposure to organic DMSO extracts,8 d embryo assay and 48 h prolarval assay,2 dpf embryos or just-hatched prolarvae,8 d or 48 h,"Embryos: solvent, virgin extract, BaP extract, Hawaii 0.01/0.1/1%; prolarvae: solvent, BaP, Easter, Guam, Hawaii extracts at 0.1%",% extract in medium,No direct particle exposure,"Sorbed pollutants, additives, monomers and BaP",DMSO solvent control and virgin-plastic extract control,Exposure replicate/dish or beaker,3 independent exposure replicates,25 embryos; endpoint subsamples 5-12 larvae,Environmental source material but solvent-extract exposure isolates chemical rather than physical particle effects,EROD xenobiotic metabolism; DNA damage,Mortality; hatching; morphology; body dimensions; locomotion,"Yes within extract-exposure assays, but not particle-only",Exact relative changes and replicate structure; most arm means are figure-only,Online supplement exists; not supplied,Not publicly deposited in article,"EXCLUDE - extract/sorbed-pollutant exposure, not a direct particle-only test",MANUALLY VERIFIED - BATCH 012,"Useful secondary evidence for MP-associated chemical toxicity, but cannot support inference about intact particles.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"Well-replicated extract assays, but ineligible for strict particle-only inference.",2018,Fish,Freshwater,Waterborne,Mixed polymers,Microplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2018,Fish,Waterborne,Mixed polymers,Microplastic
B1-026,10.1073/pnas.1519019113,https://doi.org/10.1073/pnas.1519019113,Oyster reproduction is affected by exposure to polystyrene microplastics,Sussarellu R; Suquet M; Thomas Y; Lambert C; Fabioux C; Pernet MEJ; Le Goic N; Quillien V; Mingant C; Epelboin Y; Corporeau C; Guyomarch J; Robbens J; Paul-Pont I; Soudant P; Huvet A,2016,2016,Proceedings of the National Academy of Sciences of the United States of America,0026_2016_Oyster_reproduction_is_affected_by_exposure_to_polystyrene_microplastics_pnas.1519019113.pdf.pdf,Crassostrea gigas,Mollusc,Reproductively conditioning adults and resulting larvae,Directly exposed broodstock,Parental direct exposure followed by unexposed offspring rearing,Marine flow-through seawater,Polystyrene,Microplastic,2 and 6 um,Commercial fluorescent beads; inflow and surrounding-water particle counts measured,Smooth spherical beads,Virgin fluorescent beads,Yellow-green fluorescent,Waterborne filtration/ingestion,Continuous flow-through exposure during gametogenesis,18-month-old adults at stage 0 to early stage 1,2 months,0 or 0.023 mg/L inflow; approximately 0.01 mg/L surrounding water,mg/L plus particles/mL,Yes,None; Tween-20 matched in both arms,Matched control with identical Tween-20 and husbandry,50-L tank for exposure; endpoint-specific subsampling thereafter,3 tanks per treatment,40 oysters per tank; endpoint-specific subsets,"Low mass concentration, but smooth virgin spheres differ from environmental particles",Hemocyte activity; transcriptomics; proteomics; energy allocation,Gamete quantity and quality; fecundity proxy; D-larval yield; offspring growth and metamorphosis,Yes across parental exposure and offspring outcomes,Many exact arm means with reported 95% confidence intervals; interval is not SD,Supporting information online,Partial - GEO GSE71845 for transcriptomics,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 012,"Strong mechanistic-apical design with tank replication, but printed ± values are 95% confidence intervals and endpoint-specific independent n often requires supplement.",YES,YES,YES,YES,YES,UC,YES,NO,,,,,,,"Tank design is clear; printed uncertainty is 95% CI, while endpoint-specific independent n requires supplement. GEO covers transcriptomics only.",2016,Mollusc,Marine,Waterborne/filter-feeding,PS,Microplastic,Multiple stages or life cycle,Inter- or multigenerational,Partially reusable,2016,Mollusc,Waterborne/filter-feeding,PS,Microplastic
B1-027,10.3390/antiox13070812,https://doi.org/10.3390/antiox13070812,Mitigating Dietary Microplastic Accumulation and Oxidative Stress Response in European Seabass (Dicentrarchus labrax) Juveniles Using a Natural Microencapsulated Antioxidant,Zarantoniello M; Cattaneo N; Conti F; Carrino M; Cardinaletti G; Sener I; Olivotto I,2024,2024,Antioxidants,0027_2024_Mitigating_Dietary_Microplastic_Accumulation_and_Oxidative_Stress_Response_in_European_Seabass_(Dicentrar_antiox13070812.pdf.pdf,Dicentrarchus labrax,Fish,Juvenile,,Single-generation feeding trial with mitigation arms,Marine aquaculture tanks,Amino-formaldehyde polymer,Microplastic,1-5 um; d50 1.5-2.0 um,d95 3.5 um; d99 5 um from supplier,Fluorescent microbeads,"Pristine, washed after Tween-80 suspension","Yes, emission 636 nm",Dietary,Six diet sequences with or without microencapsulated astaxanthin,"Juveniles, initial body weight approximately 74 g",60 d; intervention introduced at day 30 in switch groups,50 mg MP/kg feed; 7 g AX microcapsules/kg feed,mg/kg feed and g/kg feed,"Yes, MP diet versus control diet",Microencapsulated astaxanthin intervention in secondary arms,"Control, control-to-AX, AX-only, MP-only, MP-to-MP+AX and MP+AX",Tank for survival and growth; authors treat fish as units for other assays,3 tanks per group,20 fish/tank; 60 fish/group,Controlled dietary high-dose tracer-bead exposure,Tissue burden; intestinal histology; oxidative-stress and immune gene expression,Survival and growth performance,Yes,Variance-complete tank-level growth data and extensive tissue/histology tables,No separate supplement required for main tables,Article values only; inquiries to authors,INCLUDE - strict particle-only arm; antioxidant arms secondary,MANUALLY VERIFIED - BATCH 012,Four MP-versus-control growth comparisons are meta-analysis ready with n=3 tanks; fish-level tissue analyses remain nested within tanks.,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Growth is fully tank-replicated; tissue assays use fish as units despite tank nesting.,2024,Fish,Marine,Dietary,Other polymer,Microplastic,Juvenile,Single-generation,Fully reusable for conventional effect size,2024,Fish,Dietary,Other polymer,Microplastic
B1-028,10.1016/j.marenvres.2025.107758,https://doi.org/10.1016/j.marenvres.2025.107758,Polystyrene microplastics impede growth and induce behavioural toxicity in endangered juvenile horseshoe crabs (Tachypleus tridentatus),Jiang Y; Yang Z; Jiang L; Chong CM; Gul S; Wang Y; Waiho K; Ma X; Chen Z; Hu M,2026,2025,Marine Environmental Research,0028_2026_Polystyrene_microplastics_impede_growth_and_induce_behavioural_toxicity_in_endangered_juvenile_horseshoe_j.marenvres.2025.107758.pdf.pdf,Tachypleus tridentatus,Chelicerate,Two-year-old juvenile,,Single-generation repeated-measure exposure and recovery,Marine artificial seawater,Polystyrene,Microplastic,5 um,SEM and micro-FTIR reported in supplement,Spherical microspheres,Pristine commercial particles,Not stated,Waterborne,14 d exposure followed by 7 d clean-water recovery,Two-year-old juveniles,14 d plus 7 d recovery,"0, 2, 20, 200 ug/L",ug/L,Yes,,Water control with identical husbandry,Glass tank for exposure; individual arena for behavior,3 tanks per concentration; behavioral sampling structure incompletely linked,36 juveniles/tank; six juveniles per concentration selected for behavior,Includes low environmental-level arm and higher sublethal arms,No conventional molecular biomarker; behavioral function used as organism-level response,Growth; feeding; locomotion; sensory behavior; recovery,Growth and behavior measured in same exposure design,Means/SE and boxplot data are figure/supplement only; no exact arm values entered,Online supplement exists; not supplied,Available on request,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 012,"Exposure replication is clear, but n=9 for growth and n=6 behavioral sampling are not transparently mapped to the three tanks or repeated individuals.",NO,YES,YES,NO,YES,UC,UC,NO,,,,,,,Main exact means are unavailable and n=9/n=6 cannot be mapped confidently to tanks or repeated animals.,2025,Chelicerate,Marine,Waterborne,PS,Microplastic,Juvenile,Single-generation,Directional or nonstandard evidence only,2025,Chelicerate,Waterborne,PS,Microplastic
B1-029,10.1016/j.envpol.2025.127405,https://doi.org/10.1016/j.envpol.2025.127405,Subtle reproductive toxicity of microplastics in Pelteobagrus fulvidraco: Evidence from chronic exposure during gonadal development,Xiang W; Gong X; Zhu Y; Zhou J; Wu S; Wei X; Yin S; Ji J,2026,2025,Environmental Pollution,0029_2026_Subtle_reproductive_toxicity_of_microplastics_in_Pelteobagrus_fulvidraco_Evidence_from_chronic_exposure_d_j.envpol.2025.127405.pdf.pdf,Pelteobagrus fulvidraco,Fish,"Larval and juvenile, pre- and post-gonadal differentiation",,Two independent chronic trials plus a separate 2-week trial,Freshwater dechlorinated tap water,Polyethylene and polypropylene,"Nanoplastic by measured diameter, termed microplastic by authors",Not clearly stated before DLS,PE 413.9 ± 39.91 nm; PP 482.0 ± 33.86 nm,Irregular rough-surfaced particles,Pristine commercial but rough surface selected to mimic environmental MPs,No; Nile Red used after tissue digestion,Waterborne,Trial 1 from 10 dph for 18 weeks; Trial 2 from 90 dph for 9 weeks; separate 2-week exposure,10 or 90 dph,"18 weeks, 9 weeks, or 2 weeks","0, 0.1, 1.0 mg/L for each polymer",mg/L,Yes,,Dechlorinated-water control,Not reported; fish counts given without tank replication,qPCR 3 pools of 2 gonads; tank-level replication not reported,"Methods state 50/treatment in Trial 1 and 75/treatment in Trial 2, inconsistent with figure captions",Authors describe concentrations and rough particles as environmentally relevant; mg/L and submicron classification require caution,Tissue accumulation; gonadal histology; reproductive gene expression,Survival; sex ratio; body weight; GSI,Yes within each trial,"Exact particle sizes, selected survival/sex-ratio percentages and test statistics; arm means largely figure-only",Online supplement exists; not supplied,Available on request,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 012,Major uncertainty in experimental unit and inconsistent group n across Methods and figures prevents effect-size calculation.,YES,YES,YES,NO,YES,UC,UC,NO,,,,,,,"Multiple aligned endpoints, but group-size inconsistencies and missing tank replication prevent quantitative synthesis.",2025,Fish,Freshwater,Waterborne,Mixed polymers,Nanoplastic,Multiple stages or life cycle,Single-generation or unclear,Directional or nonstandard evidence only,2025,Fish,Waterborne,Mixed polymers,Nanoplastic
B1-030,10.1016/j.jhazmat.2025.140909,https://doi.org/10.1016/j.jhazmat.2025.140909,Arachidonic acid reverses microplastic-induced macrophage dysfunction in teleost fish,Cao YC; Zhou YQ; Wu JY; Munangandu HMM; Peng B,2026,2025,Journal of Hazardous Materials,0030_2026_Arachidonic_acid_reverses_microplastic-induced_macrophage_dysfunction_in_teleost_fish_j.jhazmat.2025.140909.pdf.pdf,Oreochromis niloticus,Fish,"Juvenile, 10-15 g",,Single-generation mechanistic exposure with bacterial challenge and rescue arms,Freshwater laboratory aquaria,Polystyrene,Nanoplastic by measured size; authors use microplastic,Product PS-00100; fluorescent challenge particles 0.1 um,Hydrodynamic diameter 96.2 nm; PDI 0.055; zeta potential -38.1 +/- 0.25 mV,Uniform spherical microspheres,Pristine,Yes for uptake assay; otherwise not consistently stated,Waterborne immersion,3-d PS exposure followed by bacterial challenge; separate mechanistic and arachidonic-acid rescue experiments,Juvenile fish after two-week acclimation,3 d PS exposure; 8 d post-challenge survival; separate 10-d low-dose exposure,"0, 0.02, 0.5, 1, 5, 10, and 20 mg/L across experiments",mg/L,Yes before challenge; challenge survival uses a common S. agalactiae co-stressor,Streptococcus agalactiae challenge in apical survival experiments; arachidonic acid in rescue arms,"Matched unexposed controls within each experiment, with common infection background where applicable",Fish for survival; biological macrophage preparations for mechanistic assays,Survival n=20 fish/group; mechanistic assays generally n>=3 biological replicates,One fish for survival; pooled or isolated cell preparations vary by assay,High mechanistic dose and short duration; authors explicitly frame 20 mg/L as a pathway-revealing exposure rather than ambient simulation,Macrophage uptake and phagocytosis; cytokines; oxidative stress; T-cell proliferation; lysosomal function; transcriptomics; metabolomics,Pathogen-challenge survival; body weight and length in extended exposure,"Yes for immunological biomarkers and infection survival, with common pathogen challenge",Exact text values for selected biomarkers and survival changes; most curves and molecular endpoints are figure-only,Online supplementary data exist; not supplied,Available on request,INCLUDE - strict particle-only mechanistic exposure; challenge survival coded separately,MANUALLY VERIFIED - BATCH 013,"Strong mechanistic rescue design, but particles are nanoplastic by measured size and the main apical survival endpoint is conditional on bacterial challenge.",YES,YES,YES,YES,YES,UC,UC,NO,,,,,,,"Mechanistic and challenge outcomes are aligned, but many assay-specific n values and aquarium allocations are not explicit. Survival is conditional on bacterial challenge.",2025,Fish,Freshwater,Waterborne,PS,Nanoplastic,Juvenile,Single-generation,Partially reusable,2025,Fish,Waterborne,PS,Nanoplastic
B1-031,10.1016/j.cbpc.2025.110358,https://doi.org/10.1016/j.cbpc.2025.110358,Developmental toxicity of functionalized polystyrene microplastics and their inhibitory effects on fin regeneration in zebrafish,Li Q; Cheng W; Wang H; Chen J; Qin Y; Sheng R; Peng S; Li Z; Lu T; Sun L,2026,2025,"Comparative Biochemistry and Physiology, Part C",0031_2026_Developmental_toxicity_of_functionalized_polystyrene_microplastics_and_their_inhibitory_effects_on_fin_re_j.cbpc.2025.110358.pdf.pdf,Danio rerio,Fish,Embryo and larva,,Single-generation early-life-stage and caudal-fin regeneration assays,Freshwater embryo and larval exposure,"Polystyrene, plain, carboxylated, and aminated",Nanoplastic by nominal and measured size; authors use microplastic,50-100 nm,PS 104.30-107.81 nm; PS-COOH 89.08-90.30 nm; PS-NH2 127.69-136.24 nm,Spherical microspheres,"Pristine plain, -COOH functionalized, or -NH2 functionalized",No,Waterborne,Early-life exposure from 2 to 120 hpf and separate post-amputation exposure,2 hpf embryos or 72 hpf amputated larvae,120 h early-life exposure; up to 72 h post-amputation,"0, 0.1, 1, and 10 mg/L for development; 0 or 1 mg/L for regeneration",mg/L,Yes,Caudal fin amputation in regeneration experiment,Matched water controls for developmental and amputation experiments,Beaker,4 beakers/treatment,30 embryos or amputated larvae/beaker; endpoint subsamples specified,Standardized high-concentration nanosphere model with daily renewal,Oxidative stress; antioxidant defence; immune response; neurotoxicity; neutrophil migration; regeneration signalling,Mortality; hatching; body length; heart rate; locomotion; fin regeneration,Yes within each developmental or regeneration assay,Main outcomes mostly graphical; exact relative fin-area percentages reported for 24 and 48 hpa,Online supplementary data exist; not supplied,Available on request,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 013,"Clear four-beaker replication, but nearly all treatment means and variances require figures or supplementary tables.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"Four-beaker design is clear, but exact treatment values are mostly graphical or supplementary.",2025,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2025,Fish,Waterborne,PS,Nanoplastic
B1-033,10.1016/j.jhazmat.2025.140860,https://doi.org/10.1016/j.jhazmat.2025.140860,"Comparative toxicity of virgin and biodegraded LLDPE microplastics on growth, behavior, antioxidant, and hematological health of Catla catla fish",Ephsy DK; Raja S,2026,2025,Journal of Hazardous Materials,0033_2026_Comparative_toxicity_of_virgin_and_biodegraded_LLDPE_microplastics_on_growth_behavior_antioxidant_and_hem_j.jhazmat.2025.140860.pdf.pdf,Catla catla,Fish,Juvenile,,Single-generation chronic comparative exposure,Freshwater glass aquaria,Linear low-density polyethylene,Microplastic,Powder,40-50 um,"VPE smoother and more uniform; BDPE irregular, rough, cracked, and fragmented",Virgin or Bacillus cereus-biodegraded/oxidized,No,Waterborne,Daily complete renewal during 60-d exposure,"Juveniles, approximately 7.0-7.5 g after acclimation",60 d,"0, 1, 10, and 100 ug/L for VPE and BDPE",ug/L,Yes,None; biodegradation state is a particle modifier,Control and separate VPE/BDPE experimental cohorts,Aquarium,Three aquaria per condition or experiment,15 fish/aquarium,Low water concentrations and field-relevant size range; daily complete renewal,Hematology; catalase; glutathione S-transferase; additional antioxidant endpoints in supplement,Growth; survival; qualitative behavior,Yes,"Extensive exact main-text tables; 525 arm-level mean-SD records extracted, with tank-level growth means separated from within-tank SD",Online supplementary data exist; not supplied,Confidential,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 013,"T1-T3 in Table 1 are replicate experiments/aquaria, not timepoints. Hematology and antioxidant sample n is not fully reported.",YES,YES,YES,YES,YES,UC,YES,NO,,,,,,,"Tank replication is clear for growth, whereas blood and tissue sampling n is not reported and source data are confidential.",2025,Fish,Freshwater,Waterborne,PE family,Microplastic,Juvenile,Single-generation,Partially reusable,2025,Fish,Waterborne,PE family,Microplastic
B1-034,10.1016/j.ecoenv.2024.117447,https://doi.org/10.1016/j.ecoenv.2024.117447,A multi-levels analysis to evaluate the toxicity of microplastics on aquatic insects: A case study with damselfly larvae (Ischnura elegans),Sun L; Cheng Z; Wang M; Wei C; Liu H; Yang Y,2025,2024,Ecotoxicology and Environmental Safety,0034_2025_A_multi-levels_analysis_to_evaluate_the_toxicity_of_microplastics_on_aquatic_insects_A_case_study_with_da_j.ecoenv.2024.117447.pdf.pdf,Ischnura elegans,Aquatic insect,Final-instar larva,,Single-generation short-term exposure with multi-omics,Freshwater bottled mineral water,Polystyrene,Microplastic,30 um,Manufacturer particle size; no independent distribution reported,Spherical balls,Pristine,No,Waterborne,Individual-beaker exposure with daily renewal,Final-instar larvae after 24 h acclimation,5 d,"0, 0.1, 1, and 10 mg/L",mg/L,Yes,,Matched bottled-water control,One-larva beaker,Seven larvae/group stated; wording about four replicates is ambiguous,One larva/beaker,Short-duration standardized sphere exposure,Metabolomics; transcriptomics; gut microbiome; inferred oxidative and inflammatory pathways,Body weight; survival; tactile activity and resting behavior,"Yes, though omics focus on control versus 10 mg/L",Exact omics counts and model metrics; apical means are supplementary/figure dependent,Online supplementary data exist; not supplied,Available on request,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 013,"Single-animal exposure units are appropriate, but the manuscript wording on replication and some behavior conclusions is internally inconsistent.",YES,YES,YES,NO,NO,UC,YES,NO,,,,,,,"One-larva beakers are identifiable, but exact apical means are supplementary and replication wording is ambiguous.",2024,Aquatic insect,Freshwater,Waterborne,PS,Microplastic,Embryo or larva,Single-generation,Directional or nonstandard evidence only,2024,Aquatic insect,Waterborne,PS,Microplastic
B1-036,10.1016/j.envpol.2025.126586,https://doi.org/10.1016/j.envpol.2025.126586,Adaptive gut microbiota dysbiosis coupled with altered fatty acid metabolism in apple snails (Pomacea canaliculata): A potential strategy against polystyrene microplastic stress,Jiao Y; Zhang D; Li X; Zhou X; Huang Y; Chen M; Wan L; Tian X,2025,2025,Environmental Pollution,0036_2025_Adaptive_gut_microbiota_dysbiosis_coupled_with_altered_fatty_acid_metabolism_in_apple_snails_(Pomacea_can_j.envpol.2025.126586.pdf.pdf,Pomacea canaliculata,Mollusc,Adult,Directly exposed adult,Single-generation short-term exposure with microbiome and metabolomics,Freshwater beakers,Polystyrene,Microplastic,1 um,Commercial microspheres; no independent distribution reported,Microspheres,Pristine,No,Waterborne with dietary contact through lettuce,Semi-static exposure with water and PS renewed every two days,"Adults, shell height 30.0 +/- 3.0 mm",21 d,"0, 1, 10, and 50 mg/L",mg/L,Yes,,Matched no-PS control,2-L beaker,3 beakers/treatment,3 snails/beaker,Upper concentrations are high; 50 mg/L described as an extreme-pollution scenario,Intestinal morphology; SOD; MDA; gut microbiome; metabolomics and fatty-acid metabolism,Food intake; weight gain; shell growth; survival,Yes,Growth and oxidative outcomes are figure-only; exact omics counts and effect ranges are reported in text,Online supplementary data exist; not supplied,Available on request,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 013,"Exposure replication is clear at three beakers, so n=9 animals must not be treated as nine independent exposure replicates.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Three beakers are the independent exposure units. Most physiological means remain figure-only and omics samples are not fully mapped to beakers.,2025,Mollusc,Freshwater,Mixed waterborne–dietary,PS,Microplastic,Adult,Single-generation,Fully reusable for conventional effect size,2025,Mollusc,Mixed waterborne–dietary,PS,Microplastic
B1-038,10.1016/j.envpol.2025.126566,https://doi.org/10.1016/j.envpol.2025.126566,"Nanoplastics under the charge effects: Unveiling the potential threats to amphibian (Rana nigromaculata) growth, intestinal damage and microbial ecology",Fang P; Ye S; Luo Z; Guo R; Jiang Y; Liu L; Li S; Xiao F,2025,2025,Environmental Pollution,0038_2025_Nanoplastics_under_the_charge_effects_Unveiling_the_potential_threats_to_amphibian_(Rana_nigromaculata)_g_j.envpol.2025.126566.pdf.pdf,Rana nigromaculata,Amphibian,"Tadpoles, Gosner stages 26-30",,Single-generation 21-d tadpole exposure,Freshwater laboratory containers,Polystyrene,Nanoplastic,30 nm,TEM/DLS and zeta-potential characterization reported in supplementary Fig. S1; exact main-text size values not printed,Spherical nanoparticles,Amine-functionalized positive surface and carboxyl-functionalized negative surface,Yes - charge-specific fluorescent particles used for accumulation assay,Waterborne,Semi-static; exposure media renewed every two days,Gosner stages 26-30,21 d,"0, 6, and 60 mg/L for PS-COOH and PS-NH2",mg/L,Yes,,Dechlorinated tap-water control,Aquaponic exposure container,3 containers per treatment,Approximately 10 tadpoles per container,Authors describe 6 mg/L as a low level and 60 mg/L as tenfold higher; both are high on a mass-concentration basis,"Whole-body particle burden; intestinal histopathology; GSH, SOD and MDA; gut microbiome; glycolysis and lipid-metabolism gene transcription",Survival; body weight; body length; tail length; body mass index,Yes,Table 1 provides exact mean +/- SD values; its n=10 footnote is not equivalent to the three independent exposure containers; other endpoints are figure-only or supplementary-dependent,Online supplementary data cited but not supplied,Available on request,INCLUDE - strict particle-only,MANUALLY VERIFIED - BATCH 014,"The exposure unit is clearly the container, but Table 1 reports n=10 and appears to analyse individual tadpoles; independent variance for meta-analysis is unresolved.",YES,YES,YES,YES,YES,UC,YES,NO,,,,,,,"Exact means and SD are available, but Table 1 n=10 is nested within three exposure containers and cannot be used as independent n without source clarification.",2025,Amphibian,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Partially reusable,2025,Amphibian,Waterborne,PS,Nanoplastic
B1-039,10.1002/jbt.70518,https://doi.org/10.1002/jbt.70518,Toxicological Assessment of Microplastics in Zebrafish: Biochemical Responses and Histopathological Changes,Immaculate J.K.; Narmatha S.M.; Jamila P.,2025,2025,Journal of Biochemical and Molecular Toxicology,0039_2025_Toxicological_Assessment_of_Microplastics_in_Zebrafish_Biochemical_Responses_and_Histopathological_Change_jbt.70518.pdf.pdf,Danio rerio,Fish,Five-month-old adults of mixed sex,Directly exposed adult,Single-generation 12-d and 24-d dietary exposure,Freshwater glass aquaria,Polyethylene,Environmental microplastic,50 and 100 um,Size-selected field-derived fibers; no full particle-size distribution reported,Fibers,"Environmental field-collected, washed and dried; sorbed contaminants were not measured",No,Dietary; fibers mixed into commercial feed although doses are reported in ug/L,"Triplicate tank exposure, water changed every two days",Five-month-old adult,12 and 24 d,"0, 0.1, 10, 50, and 500 ug/L for each particle size",ug/L as reported despite dietary delivery,No - environmental particles lack a clean-particle comparator,Potential field-sorbed pollutants and additives were not quantified,Unexposed feed control; no uncontaminated synthetic PE-particle comparator,Aquarium,Likely 3 aquaria per size-by-concentration group; 30 tanks total,15 fish per aquarium,Field-derived particles improve physical realism but introduce uncontrolled chemical mixtures,"Organ particle burden; liver protein; SOD, CAT, GST, GSH-Px, GSH and lipid peroxidation; organ histopathology",Survival; body weight; total length; condition factor,Yes,"Tables 1-3 contain exact percentages, means/SD and counts; Table 2 collapses the two particle sizes and cannot be mapped to a unique physical arm",No separate supplementary file identified in the main article,Available on request,EXCLUDE - environmental particle/pollutant mixture for strict particle-only inference,MANUALLY VERIFIED - BATCH 014,The authors explicitly state that adsorbed contaminants were not evaluated and that the lack of an uncontaminated-MP control prevents separation of particle and pollutant effects.,YES,YES,YES,YES,YES,UC,YES,NO,,,,,,,"Some exact tables are available, but size strata are collapsed and the environmental particles lack a clean-particle comparator.",2025,Fish,Freshwater,Dietary,PE family,Microplastic,Adult,Single-generation,Partially reusable,2025,Fish,Dietary,PE family,Microplastic
